id,from,to, floor, zone
 slowery001,2016/5/31 7:26,2016/5/31 7:26,,
 slowery001,2016/5/31 7:26,2016/5/31 7:26,,
 korilla001,2016/5/31 7:26,2016/5/31 7:27,,
 slowery001,2016/5/31 7:26,2016/5/31 8:50,,
 monda001,2016/5/31 7:27,2016/5/31 7:28,,
 tcarrara001,2016/5/31 7:27,2016/5/31 7:28,,
 korilla001,2016/5/31 7:27,2016/5/31 7:27,,
 korilla001,2016/5/31 7:27,2016/5/31 7:27,,
 tbattles001,2016/5/31 7:27,2016/5/31 7:28,,
 apinckney001,2016/5/31 7:27,2016/5/31 7:28,,
 ahafon001,2016/5/31 7:27,2016/5/31 7:28,,
 korilla001,2016/5/31 7:27,2016/5/31 8:55,,
 apinckney001,2016/5/31 7:28,2016/5/31 7:28,,
 tbattles001,2016/5/31 7:28,2016/5/31 7:28,,
 ahafon001,2016/5/31 7:28,2016/5/31 7:28,,
 ahafon001,2016/5/31 7:28,2016/5/31 7:28,,
 apinckney001,2016/5/31 7:28,2016/5/31 7:28,,
 tbattles001,2016/5/31 7:28,2016/5/31 7:28,,
 tcarrara001,2016/5/31 7:28,2016/5/31 7:29,,
 monda001,2016/5/31 7:28,2016/5/31 7:29,,
 ahafon001,2016/5/31 7:28,2016/5/31 8:51,,
 apinckney001,2016/5/31 7:28,2016/5/31 8:50,,
 tbattles001,2016/5/31 7:28,2016/5/31 8:54,,
 csolos001,2016/5/31 7:29,2016/5/31 7:30,,
 tcarrara001,2016/5/31 7:29,2016/5/31 7:29,,
 monda001,2016/5/31 7:29,2016/5/31 7:29,,
 tcarrara001,2016/5/31 7:29,2016/5/31 7:29,,
 monda001,2016/5/31 7:29,2016/5/31 7:29,,
 monda001,2016/5/31 7:29,2016/5/31 8:47,,
 tcarrara001,2016/5/31 7:29,2016/5/31 8:57,,
 eedward001,2016/5/31 7:30,2016/5/31 7:31,,
 pratigan001,2016/5/31 7:30,2016/5/31 7:31,,
 rparade001,2016/5/31 7:30,2016/5/31 8:57,,
 wvasco001,2016/5/31 7:30,2016/5/31 7:31,,
 acampo001,2016/5/31 7:30,2016/5/31 7:32,,
 rpantanal001,2016/5/31 7:30,2016/5/31 7:31,,
 lcarrara001,2016/5/31 7:30,2016/5/31 7:31,,
 lorosco001,2016/5/31 7:30,2016/5/31 7:31,,
 cwhelan001,2016/5/31 7:30,2016/5/31 7:31,,
 jfrost001,2016/5/31 7:30,2016/5/31 12:00,,
 epavone001,2016/5/31 7:30,2016/5/31 7:32,,
 ostrum001,2016/5/31 7:30,2016/5/31 7:31,,
 csolos001,2016/5/31 7:30,2016/5/31 7:31,,
 dscozzese001,2016/5/31 7:31,2016/5/31 9:05,,
 csolos001,2016/5/31 7:31,2016/5/31 7:31,,
 csolos001,2016/5/31 7:31,2016/5/31 7:31,,
 cwhelan001,2016/5/31 7:31,2016/5/31 7:32,,
 ostrum001,2016/5/31 7:31,2016/5/31 7:32,,
 pratigan001,2016/5/31 7:31,2016/5/31 7:32,,
 lorosco001,2016/5/31 7:31,2016/5/31 7:32,,
 eedward001,2016/5/31 7:31,2016/5/31 7:32,,
 lcarrara001,2016/5/31 7:31,2016/5/31 7:32,,
 csolos001,2016/5/31 7:31,2016/5/31 8:45,,
 wvasco001,2016/5/31 7:31,2016/5/31 7:32,,
 rpantanal001,2016/5/31 7:31,2016/5/31 7:32,,
 sfusil001,2016/5/31 7:32,2016/5/31 7:37,,
 bmullen001,2016/5/31 7:32,2016/5/31 7:33,,
 fresumir001,2016/5/31 7:32,2016/5/31 7:32,,
 lorosco001,2016/5/31 7:32,2016/5/31 7:32,,
 eedward001,2016/5/31 7:32,2016/5/31 7:32,,
 cwhelan001,2016/5/31 7:32,2016/5/31 7:32,,
 ostrum001,2016/5/31 7:32,2016/5/31 7:32,,
 rpantanal001,2016/5/31 7:32,2016/5/31 7:32,,
 lcarrara001,2016/5/31 7:32,2016/5/31 7:32,,
 pratigan001,2016/5/31 7:32,2016/5/31 7:32,,
 wvasco001,2016/5/31 7:32,2016/5/31 7:32,,
 cwhelan001,2016/5/31 7:32,2016/5/31 7:32,,
 epavone001,2016/5/31 7:32,2016/5/31 7:33,,
 acampo001,2016/5/31 7:32,2016/5/31 7:33,,
 cwhelan001,2016/5/31 7:32,2016/5/31 9:00,,
 rpantanal001,2016/5/31 7:32,2016/5/31 7:32,,
 lcarrara001,2016/5/31 7:32,2016/5/31 7:32,,
 wvasco001,2016/5/31 7:32,2016/5/31 7:32,,
 eedward001,2016/5/31 7:32,2016/5/31 7:32,,
 lorosco001,2016/5/31 7:32,2016/5/31 7:32,,
 pratigan001,2016/5/31 7:32,2016/5/31 7:32,,
 ostrum001,2016/5/31 7:32,2016/5/31 7:32,,
 ostrum001,2016/5/31 7:32,2016/5/31 7:33,,
 lorosco001,2016/5/31 7:32,2016/5/31 9:55,,
 pratigan001,2016/5/31 7:32,2016/5/31 7:32,,
 rpantanal001,2016/5/31 7:32,2016/5/31 7:32,,
 eedward001,2016/5/31 7:32,2016/5/31 7:32,,
 lcarrara001,2016/5/31 7:32,2016/5/31 7:33,,
 wvasco001,2016/5/31 7:32,2016/5/31 7:32,,
 wvasco001,2016/5/31 7:32,2016/5/31 9:00,,
 rpantanal001,2016/5/31 7:32,2016/5/31 10:13,,
 eedward001,2016/5/31 7:32,2016/5/31 9:00,,
 pratigan001,2016/5/31 7:32,2016/5/31 9:44,,
 fresumir001,2016/5/31 7:32,2016/5/31 7:58,,
 junger001,2016/5/31 7:33,2016/5/31 7:33,,
 vhatchett001,2016/5/31 7:33,2016/5/31 7:34,,
 epavone001,2016/5/31 7:33,2016/5/31 7:33,,
 acampo001,2016/5/31 7:33,2016/5/31 7:33,,
 lcarrara001,2016/5/31 7:33,2016/5/31 7:33,,
 ostrum001,2016/5/31 7:33,2016/5/31 7:33,,
 ostrum001,2016/5/31 7:33,2016/5/31 10:08,,
 lcarrara001,2016/5/31 7:33,2016/5/31 9:30,,
 epavone001,2016/5/31 7:33,2016/5/31 7:33,,
 acampo001,2016/5/31 7:33,2016/5/31 7:33,,
 acampo001,2016/5/31 7:33,2016/5/31 9:20,,
 epavone001,2016/5/31 7:33,2016/5/31 7:33,,
 bmullen001,2016/5/31 7:33,2016/5/31 7:34,,
 epavone001,2016/5/31 7:33,2016/5/31 17:00,,
 junger001,2016/5/31 7:33,2016/5/31 7:34,,
 jsimonides001,2016/5/31 7:34,2016/5/31 7:35,,
 wreynoso001,2016/5/31 7:34,2016/5/31 7:35,,
 vlagos001,2016/5/31 7:34,2016/5/31 7:38,,
 junger001,2016/5/31 7:34,2016/5/31 7:34,,
 bmullen001,2016/5/31 7:34,2016/5/31 7:34,,
 junger001,2016/5/31 7:34,2016/5/31 7:34,,
 bmullen001,2016/5/31 7:34,2016/5/31 7:34,,
 junger001,2016/5/31 7:34,2016/5/31 8:55,,
 vhatchett001,2016/5/31 7:34,2016/5/31 7:35,,
 bmullen001,2016/5/31 7:34,2016/5/31 8:45,,
 bridenour001,2016/5/31 7:35,2016/5/31 7:37,,
 gcazar001,2016/5/31 7:35,2016/5/31 7:37,,
 vhatchett001,2016/5/31 7:35,2016/5/31 7:35,,
 vhatchett001,2016/5/31 7:35,2016/5/31 9:57,,
 jsimonides001,2016/5/31 7:35,2016/5/31 7:36,,
 vawelon001,2016/5/31 7:35,2016/5/31 7:36,,
 wreynoso001,2016/5/31 7:35,2016/5/31 7:36,,
 wreynoso001,2016/5/31 7:36,2016/5/31 7:36,,
 jsimonides001,2016/5/31 7:36,2016/5/31 7:36,,
 vawelon001,2016/5/31 7:36,2016/5/31 7:36,,
 vawelon001,2016/5/31 7:36,2016/5/31 7:46,,
 jsimonides001,2016/5/31 7:36,2016/5/31 7:36,,
 wreynoso001,2016/5/31 7:36,2016/5/31 7:36,,
 jsimonides001,2016/5/31 7:36,2016/5/31 8:55,,
 wreynoso001,2016/5/31 7:36,2016/5/31 8:47,,
 thagan001,2016/5/31 7:37,2016/5/31 7:38,,
 sflecha001,2016/5/31 7:37,2016/5/31 7:38,,
 gcazar001,2016/5/31 7:37,2016/5/31 7:37,,
 bridenour001,2016/5/31 7:37,2016/5/31 7:37,,
 sfusil001,2016/5/31 7:37,2016/5/31 7:37,,
 bridenour001,2016/5/31 7:37,2016/5/31 7:37,,
 sfusil001,2016/5/31 7:37,2016/5/31 7:37,,
 gcazar001,2016/5/31 7:37,2016/5/31 7:37,,
 sfusil001,2016/5/31 7:37,2016/5/31 7:38,,
 bridenour001,2016/5/31 7:37,2016/5/31 9:52,,
 gcazar001,2016/5/31 7:37,2016/5/31 7:38,,
 ncalixto001,2016/5/31 7:38,2016/5/31 7:39,,
 gcazar001,2016/5/31 7:38,2016/5/31 8:52,,
 sfusil001,2016/5/31 7:38,2016/5/31 7:38,,
 sflecha001,2016/5/31 7:38,2016/5/31 7:39,,
 thagan001,2016/5/31 7:38,2016/5/31 7:39,,
 sfusil001,2016/5/31 7:38,2016/5/31 7:41,,
 vlagos001,2016/5/31 7:38,2016/5/31 7:47,,
 acalzas001,2016/5/31 7:39,2016/5/31 7:40,,
 thagan001,2016/5/31 7:39,2016/5/31 7:39,,
 sflecha001,2016/5/31 7:39,2016/5/31 7:39,,
 thagan001,2016/5/31 7:39,2016/5/31 7:39,,
 sflecha001,2016/5/31 7:39,2016/5/31 7:39,,
 ncalixto001,2016/5/31 7:39,2016/5/31 7:40,,
 sflecha001,2016/5/31 7:39,2016/5/31 9:04,,
 thagan001,2016/5/31 7:39,2016/5/31 8:49,,
 eorilla001,2016/5/31 7:40,2016/5/31 7:41,,
 bhawelon001,2016/5/31 7:40,2016/5/31 7:41,,
 pyoung001,2016/5/31 7:40,2016/5/31 7:41,,
 vfrente001,2016/5/31 7:40,2016/5/31 7:41,,
 lgrogan001,2016/5/31 7:40,2016/5/31 7:41,,
 ncalixto001,2016/5/31 7:40,2016/5/31 7:40,,
 ncalixto001,2016/5/31 7:40,2016/5/31 7:40,,
 ncalixto001,2016/5/31 7:40,2016/5/31 8:54,,
 acalzas001,2016/5/31 7:40,2016/5/31 7:41,,
 bfrente001,2016/5/31 7:41,2016/5/31 7:42,,
 sfusil001,2016/5/31 7:41,2016/5/31 7:41,,
 acalzas001,2016/5/31 7:41,2016/5/31 7:41,,
 acalzas001,2016/5/31 7:41,2016/5/31 7:41,,
 sfusil001,2016/5/31 7:41,2016/5/31 7:41,,
 vfrente001,2016/5/31 7:41,2016/5/31 7:42,,
 lgrogan001,2016/5/31 7:41,2016/5/31 7:42,,
 bhawelon001,2016/5/31 7:41,2016/5/31 7:42,,
 eorilla001,2016/5/31 7:41,2016/5/31 7:42,,
 pyoung001,2016/5/31 7:41,2016/5/31 7:42,,
 acalzas001,2016/5/31 7:41,2016/5/31 8:49,,
 sfusil001,2016/5/31 7:41,2016/5/31 7:42,,
 malinai001,2016/5/31 7:42,2016/5/31 7:42,,
 vomalla001,2016/5/31 7:42,2016/5/31 7:42,,
 eorilla001,2016/5/31 7:42,2016/5/31 7:42,,
 vfrente001,2016/5/31 7:42,2016/5/31 7:42,,
 bhawelon001,2016/5/31 7:42,2016/5/31 7:42,,
 pyoung001,2016/5/31 7:42,2016/5/31 7:42,,
 lgrogan001,2016/5/31 7:42,2016/5/31 7:42,,
 bhawelon001,2016/5/31 7:42,2016/5/31 7:42,,
 eorilla001,2016/5/31 7:42,2016/5/31 7:42,,
 lgrogan001,2016/5/31 7:42,2016/5/31 9:58,,
 vfrente001,2016/5/31 7:42,2016/5/31 7:42,,
 vfrente001,2016/5/31 7:42,2016/5/31 9:01,,
 eorilla001,2016/5/31 7:42,2016/5/31 9:04,,
 sfusil001,2016/5/31 7:42,2016/5/31 7:42,,
 bfrente001,2016/5/31 7:42,2016/5/31 7:43,,
 sfusil001,2016/5/31 7:42,2016/5/31 7:42,,
 bhawelon001,2016/5/31 7:42,2016/5/31 9:01,,
 pyoung001,2016/5/31 7:42,2016/5/31 7:42,,
 pyoung001,2016/5/31 7:42,2016/5/31 7:43,,
 vomalla001,2016/5/31 7:42,2016/5/31 7:43,,
 malinai001,2016/5/31 7:42,2016/5/31 7:43,,
 sfusil001,2016/5/31 7:42,2016/5/31 7:52,,
 cmorluniau001,2016/5/31 7:43,2016/5/31 7:44,,
 hmies001,2016/5/31 7:43,2016/5/31 7:44,,
 eminto001,2016/5/31 7:43,2016/5/31 7:44,,
 pyoung001,2016/5/31 7:43,2016/5/31 10:05,,
 bfrente001,2016/5/31 7:43,2016/5/31 7:43,,
 bfrente001,2016/5/31 7:43,2016/5/31 9:55,,
 malinai001,2016/5/31 7:43,2016/5/31 7:43,,
 vomalla001,2016/5/31 7:43,2016/5/31 7:43,,
 malinai001,2016/5/31 7:43,2016/5/31 7:43,,
 vomalla001,2016/5/31 7:43,2016/5/31 10:00,,
 malinai001,2016/5/31 7:43,2016/5/31 9:04,,
 lalcazar001,2016/5/31 7:44,2016/5/31 7:45,,
 hmies001,2016/5/31 7:44,2016/5/31 7:45,,
 eminto001,2016/5/31 7:44,2016/5/31 7:45,,
 cmorluniau001,2016/5/31 7:44,2016/5/31 7:45,,
 llagos001,2016/5/31 7:45,2016/5/31 7:46,,
 lbergen001,2016/5/31 7:45,2016/5/31 7:46,,
 fmata001,2016/5/31 7:45,2016/5/31 7:46,,
 hblue001,2016/5/31 7:45,2016/5/31 7:46,,
 ssinagra001,2016/5/31 7:45,2016/5/31 7:46,,
 slea001,2016/5/31 7:45,2016/5/31 7:54,,
 mvollan001,2016/5/31 7:45,2016/5/31 7:54,,
 hmies001,2016/5/31 7:45,2016/5/31 7:45,,
 cmorluniau001,2016/5/31 7:45,2016/5/31 7:45,,
 eminto001,2016/5/31 7:45,2016/5/31 7:45,,
 hmies001,2016/5/31 7:45,2016/5/31 7:45,,
 eminto001,2016/5/31 7:45,2016/5/31 7:45,,
 cmorluniau001,2016/5/31 7:45,2016/5/31 7:45,,
 cmorluniau001,2016/5/31 7:45,2016/5/31 8:52,,
 hmies001,2016/5/31 7:45,2016/5/31 7:46,,
 lalcazar001,2016/5/31 7:45,2016/5/31 7:46,,
 eminto001,2016/5/31 7:45,2016/5/31 8:49,,
 hmies001,2016/5/31 7:46,2016/5/31 9:04,,
 vawelon001,2016/5/31 7:46,2016/5/31 7:46,,
 lalcazar001,2016/5/31 7:46,2016/5/31 7:46,,
 lalcazar001,2016/5/31 7:46,2016/5/31 7:46,,
 lalcazar001,2016/5/31 7:46,2016/5/31 8:57,,
 lbergen001,2016/5/31 7:46,2016/5/31 7:47,,
 hblue001,2016/5/31 7:46,2016/5/31 7:47,,
 ssinagra001,2016/5/31 7:46,2016/5/31 7:47,,
 fmata001,2016/5/31 7:46,2016/5/31 7:47,,
 llagos001,2016/5/31 7:46,2016/5/31 7:47,,
 vawelon001,2016/5/31 7:46,2016/5/31 7:46,,
 vawelon001,2016/5/31 7:46,2016/6/1 0:01,,
 jcastellanos001,2016/5/31 7:47,2016/5/31 7:54,,
 anardi001,2016/5/31 7:47,2016/5/31 7:54,,
 vlagos001,2016/5/31 7:47,2016/5/31 7:47,,
 vlagos001,2016/5/31 7:47,2016/5/31 7:47,,
 fmata001,2016/5/31 7:47,2016/5/31 7:47,,
 hblue001,2016/5/31 7:47,2016/5/31 7:47,,
 lbergen001,2016/5/31 7:47,2016/5/31 7:47,,
 llagos001,2016/5/31 7:47,2016/5/31 7:47,,
 ssinagra001,2016/5/31 7:47,2016/5/31 7:47,,
 lbergen001,2016/5/31 7:47,2016/5/31 7:47,,
 ssinagra001,2016/5/31 7:47,2016/5/31 7:47,,
 fmata001,2016/5/31 7:47,2016/5/31 10:08,,
 lbergen001,2016/5/31 7:47,2016/5/31 8:46,,
 ssinagra001,2016/5/31 7:47,2016/5/31 8:55,,
 hblue001,2016/5/31 7:47,2016/5/31 7:47,,
 llagos001,2016/5/31 7:47,2016/5/31 7:47,,
 hblue001,2016/5/31 7:47,2016/5/31 7:48,,
 llagos001,2016/5/31 7:47,2016/5/31 7:48,,
 vlagos001,2016/5/31 7:47,2016/5/31 7:47,,
 vlagos001,2016/5/31 7:47,2016/5/31 7:48,,
 jnespola001,2016/5/31 7:48,2016/5/31 7:54,,
 hblue001,2016/5/31 7:48,2016/5/31 17:04,,
 llagos001,2016/5/31 7:48,2016/5/31 7:48,,
 vlagos001,2016/5/31 7:48,2016/5/31 7:48,,
 llagos001,2016/5/31 7:48,2016/5/31 10:45,,
 vlagos001,2016/5/31 7:48,2016/5/31 7:53,,
 kherrero001,2016/5/31 7:49,2016/5/31 7:56,,
 mshultz001,2016/5/31 7:50,2016/5/31 7:52,,
 jholly001,2016/5/31 7:50,2016/5/31 7:51,,
 jholly001,2016/5/31 7:51,2016/5/31 7:52,,
 sfusil001,2016/5/31 7:52,2016/5/31 7:59,,
 jholly001,2016/5/31 7:52,2016/5/31 7:52,,
 jholly001,2016/5/31 7:52,2016/5/31 7:52,,
 jholly001,2016/5/31 7:52,2016/5/31 11:25,,
 mshultz001,2016/5/31 7:52,2016/5/31 7:53,,
 vlagos001,2016/5/31 7:53,2016/5/31 7:53,,
 mshultz001,2016/5/31 7:53,2016/5/31 7:53,,
 mshultz001,2016/5/31 7:53,2016/5/31 7:53,,
 vlagos001,2016/5/31 7:53,2016/5/31 7:53,,
 mshultz001,2016/5/31 7:53,2016/5/31 7:54,,
 vlagos001,2016/5/31 7:53,2016/5/31 7:54,,
 mshultz001,2016/5/31 7:54,2016/5/31 9:31,,
 vlagos001,2016/5/31 7:54,2016/5/31 7:54,,
 vlagos001,2016/5/31 7:54,2016/5/31 7:57,,
 jnespola001,2016/5/31 7:54,2016/5/31 7:55,,
 mvollan001,2016/5/31 7:54,2016/5/31 7:55,,
 jcastellanos001,2016/5/31 7:54,2016/5/31 7:55,,
 anardi001,2016/5/31 7:54,2016/5/31 7:55,,
 slea001,2016/5/31 7:54,2016/5/31 7:55,,
 cforluniau001,2016/5/31 7:55,2016/5/31 7:56,,
 gflorez002,2016/5/31 7:55,2016/5/31 7:56,,
 jnespola001,2016/5/31 7:55,2016/5/31 7:55,,
 jnespola001,2016/5/31 7:55,2016/5/31 7:55,,
 jnespola001,2016/5/31 7:55,2016/5/31 7:56,,
 slea001,2016/5/31 7:55,2016/5/31 7:55,,
 anardi001,2016/5/31 7:55,2016/5/31 7:55,,
 mvollan001,2016/5/31 7:55,2016/5/31 7:55,,
 jcastellanos001,2016/5/31 7:55,2016/5/31 7:55,,
 slea001,2016/5/31 7:55,2016/5/31 7:55,,
 jcastellanos001,2016/5/31 7:55,2016/5/31 7:55,,
 mvollan001,2016/5/31 7:55,2016/5/31 7:55,,
 anardi001,2016/5/31 7:55,2016/5/31 7:55,,
 jcastellanos001,2016/5/31 7:55,2016/5/31 7:56,,
 slea001,2016/5/31 7:55,2016/5/31 7:56,,
 anardi001,2016/5/31 7:55,2016/5/31 7:56,,
 mvollan001,2016/5/31 7:55,2016/5/31 7:56,,
 jnespola001,2016/5/31 7:56,2016/5/31 9:34,,
 jcastellanos001,2016/5/31 7:56,2016/5/31 9:33,,
 mvollan001,2016/5/31 7:56,2016/5/31 9:31,,
 slea001,2016/5/31 7:56,2016/5/31 9:35,,
 anardi001,2016/5/31 7:56,2016/5/31 9:31,,
 gflorez002,2016/5/31 7:56,2016/5/31 7:57,,
 cforluniau001,2016/5/31 7:56,2016/5/31 7:57,,
 kherrero001,2016/5/31 7:56,2016/5/31 7:57,,
 cforluniau001,2016/5/31 7:57,2016/5/31 7:57,,
 gflorez002,2016/5/31 7:57,2016/5/31 7:57,,
 kherrero001,2016/5/31 7:57,2016/5/31 7:57,,
 cforluniau001,2016/5/31 7:57,2016/5/31 7:57,,
 kherrero001,2016/5/31 7:57,2016/5/31 7:57,,
